index_code,index_name,index_family,region,currency,date,index_value,source,frequency,series_id
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2024-03-01,384.276,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2024-04-01,395.872,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2024-05-01,319.052,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2024-06-01,306.904,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2024-07-01,342.037,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2024-08-01,334.785,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2024-09-01,289.007,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2024-10-01,318.34,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2024-11-01,311.919,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2024-12-01,294.577,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-01-01,305.53,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-02-01,312.948,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-03-01,290.379,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-04-01,287.438,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-05-01,288.363,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-06-01,286.957,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-07-01,316.858,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-08-01,307.151,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-09-01,313.893,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-10-01,298.93,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-11-01,331.58,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2025-12-01,273.099,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2026-01-01,266.645,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2026-02-01,315.983,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2026-03-01,437.312,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2026-04-01,495.251,BLS Public Data API v2,monthly,WPU057303
ENERGY_US_DIESEL,PPI No. 2 diesel fuel,energy,US National Average,USD,2026-05-01,593.723,BLS Public Data API v2,monthly,WPU057303
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-01-01,240.8,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-02-01,241.1,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-03-01,241.3,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-04-01,241.5,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-05-01,243.4,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-06-01,246.9,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-07-01,247.682,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-08-01,248.835,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-09-01,249.86,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-10-01,257.313,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-11-01,258.281,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2021-12-01,260.38,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-01-01,261.208,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-02-01,262.762,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-03-01,263.433,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-04-01,270.673,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-05-01,271.423,BLS Public Data API v2,monthly,WPU112
